CREF ;CDETALLE ;IDFAMILIA ;CFORMATO ;LKIT ;LPESO ;NBENEFPVP ;NCOSTEDIV ;NCOSTEPROM ;NPCONIVA ;NPVP ;NSTOCKMAX ;NSTOCKMIN 
88BEAP35;BOMBA ENGRANAJES 35L. ALTA PRESION;88;;0;0;0;0;0;402,0968;340,76;0;0
88BEAP45;BOMBA ENGRANAJES 45L. ALTA PRESION;88;;0;0;0;0;0;406,3094;344,33;0;0
88BEAP55;BOMBA ENGRANAJES 55L. ALTA PRESION;88;;0;0;0;0;0;414,1328;350,96;0;0
88BEAP64;BOMBA ENGRANAJES 64L. ALTA PRESION;88;;0;0;0;0;0;424,3516;359,62;0;0
88BEAP90;BOMBA ENGRANAJES 90L. ALTA PRESION;88;;0;0;0;0;0;554,9186;470,27;0;0
88BEAP110;BOMBA ENGRANAJES 110L. ALTA PRESION;88;;0;0;0;0;0;583,4864;494,48;0;0
88BF130;BOMBA VOLVO F1-30;88;;0;0;5;581,57;581,57;720,567;610,65;0;0
88BF140;BOMBA VOLVO F1-40;88;;0;0;5;627,8;627,8;777,8442;659,19;0;0
88BO0030;BOMBAS 30 LITROS;88;;0;0;20;337,6;337,6;478,0416;405,12;0;0
88BO0040;BOMBA 40 LITROS;88;;0;0;0;0;0;0;0;0;0
88BO0050;BOMBAS 50 LITROS;88;;0;0;20;421,49;421,49;596,8322;505,79;0;0
88BO0060;BOMBAS 60 LITROS;88;;0;0;0;0;0;0;0;0;0
88BO0110;BOMBAS 110 LITROS;88;;0;0;0;0;0;0;0;0;0
88BP0014;BOMBA PISTONES 14L. PARA COMPACTAR;88;;0;0;0;0;0;541,4784;458,88;0;0
88BP14S2;BOMBA PISTONES 14 L. SALIDA 21UNI222;88;;0;0;0;0;0;524,2386;444,27;0;0
88BP0025;BOMBA PISTONES 25L. PARA COMPACTAR;88;;0;0;0;0;0;578,1764;489,98;0;0
88BP25S2;BOMBA PISTONES 25L. SALIDA 21UNI222;88;;0;0;0;0;0;560,6298;475,11;0;0
88BP0035;BOMBA PISTONES 35L. PARA COMPACTAR;88;;0;0;0;0;0;639,2296;541,72;0;0
88BP35S2;BOMBA PISTONES 35L. SALIDA 21UNI222;88;;0;0;0;0;0;619,5826;525,07;0;0
88BP0050;BOMBA PISTONES 50L. PARA COMPACTAR;88;;0;0;0;0;0;671,125;568,75;0;0
88BP50S2;BOMBA PISTONES 50L. SALIDAD 21UNI222;88;;0;0;0;0;0;646,3686;547,77;0;0
88BP0058;BOMBA PISTONES 58L. PARA COMPACTAR;88;;0;0;0;0;0;687,3618;582,51;0;0
88BP58S2;BOMBA PISTONES 58L. SALIDA 21UNI222;88;;0;0;0;0;0;661,6968;560,76;0;0
88BP0080;BOMBA PISTONES 80L. PARA COMPACTAR;88;;0;0;0;0;0;781,632;662,4;0;0
88BP0100;BOMBA PISTONES 100L. PARA COMPACTAR;88;;0;0;0;0;0;928,3178;786,71;0;0
88BP5050;BOMBA PISTONES DOBLE CAUDAL 50+50L;88;;0;0;0;0;0;1398,7956;1185,42;0;0
88BPCI30;BOMBA PISTONES 30 L. CUERPO INCLINADO;88;;0;0;0;352,75;0;662,1806;561,17;0;0
88BPCI43;BOMBA PISTONES 43L. CUERPO INCLINADO;88;;0;0;0;0;0;749,9136;635,52;0;0
88BPCI60;BOMBA PISTONES 60L. CUERPO INCLINADO;88;;0;0;0;0;0;771,9324;654,18;0;0
88BPCI80;BOMBA PISTONES 80L. CUERPO INCLINADO;88;;0;0;0;0;0;831,0858;704,31;0;0
88JUNTACUAD.4T;JUNTA CUADRADA CUATRO TALADROS;88;;0;0;0;1,48;0;3,54;3;0;0
88KITBHYD25L;KIT REPARACION BOMBA HYDROCAR 25 L (2 PLACAS+2 RETENES);88;;0;0;35;146,02;146,02;232,6016;197,12;0;0
88TM00ZF;TOMA DE FUERZA ZF 60L;88;;0;0;30;315,18;315,18;409,73;409,73;0;0
88TM0906;TOMA FUERZA SCANIA;88;;0;0;20;504,07;504,07;713,7584;604,88;0;0
88TM5252;TOMA FUERZA TURNER;88;;0;0;20;312,76;312,76;442,8658;375,31;0;0
88TM6003;TOMA FUERZA MERCEDES;88;;0;0;20;351,98;351,98;498,4084;422,38;0;0
89ACNM00;ACOPLE CARROCERIA NM X2433.A024-6;89;;0;0;0;9,29;9,29;10,9622;9,29;0;0
89ACNMDO;ACOPLE CARROCERIA NM DOBLE X2433.A030-1;89;;0;0;0;12,17;12,17;14,3606;12,17;0;0
89ANICON;ANILLO DEL CONECTOR X2433.A010-8;89;;0;0;0;0,32;0,32;0,708;0,6;0;0
89C?BJ55;CA?O BAJADA 55 CM X2433.A043-0;89;;0;0;0;9,5;9,5;11,21;9,5;0;0
89CO3814;"CONECTOR CODO 3/8"" X 1/4"" X1413.A025-8";89;;0;0;0;0,59;0,59;0,6962;0,59;0;0
89CONINF;CONECTOR INFERIOR X2433.A048-7;89;;0;0;0;6,31;6,31;7,4458;6,31;0;0
89CONSUP;CONECTOR SUPERIOR X2433.A047-5;89;;0;0;0;5,65;5,65;6,667;5,65;0;0
89CTCUBR;CURVA TAPA CUBRERROTOR X1413.A060-0;89;;0;0;0;0,9;0,9;1,062;0,9;0;0
89DISOPR;DISCO SOPORTE ROTOR 280 M.M. X1416.A064-0;89;;0;0;0;21,56;21,56;25,4408;21,56;0;0
89DSR150;DISCO SOPORTE ROTOR 150 M.M. X1416.A097-2;89;;0;0;0;10,82;10,82;12,7676;10,82;0;0
89DSR215;DISCO SOPORTE ROTOR 215 M.M. X1416.A050-2;89;;0;0;0;14,12;14,12;16,6616;14,12;0;0
89ESTS19;ESTRELLA SOPORTE 190 M.M. X1416.A092-5;89;;0;0;0;10,34;10,34;12,2012;10,34;0;0
89JUVINF;JUNTA PARA VALVULA INFLADO X1411.A007-5;89;;0;0;0;0,15;0,15;0,177;0,15;0;0
89KESPR4;KIT EJE SOPORTE ROTOR 335 X 41 X1416.A232-8;89;;0;0;0;25,63;25,63;30,2434;25,63;0;0
89KESPRO;KIT EJE SOPORTE ROTOR 335 X 21 X1416A230-4;89;;0;0;0;25,63;25,63;30,2434;25,63;0;0
89SPACVA;SOPORTE ACOPLE CARROCERIA VARIABLE X2433.A056-6;89;;0;0;0;33,81;33,81;39,8958;33,81;0;0
89SR335P;SOPORTE ROTOR 335 M.M. PLANO X1416.A160-9;89;;0;0;0;9,38;9,38;11,0684;9,38;0;0
89SRDT21;SOPORTE ROTOR DOBLE T 210 M.M. X1416.A093-7;89;;0;0;0;12,65;12,65;14,927;12,65;0;0
89TACUGR;TAPA CUBRERROTOR GRIS X1413.A064-5;89;;0;0;0;3,37;3,37;3,9766;3,37;0;0
89TANF38;"TAPON NF 3/8"" X1414.A012-6";89;;0;0;0;0,45;0,45;0,531;0,45;0;0
89TEC?BJ;TERMINAL CA?O BAJADA X2433.A015-5;89;;0;0;0;1,8;1,8;2,124;1,8;0;0
89VCONFJ;VALVULA DE CONEXION FIJA X1411.A012-1;89;;0;0;0;15,18;15,18;17,9124;15,18;0;0
89VINFCO;VALVULA INFLADO CODO X1411.A001-6;89;;0;0;0;12,92;12,92;15,2456;12,92;0;0
89VINFCT;VALVULA INFLADO CORTA X1411.A002-8;89;;0;0;0;10,82;10,82;12,7676;10,82;0;0
89VINFLG;VALVULA INFLADO LARGA X1411.A003-0;89;;0;0;0;13,82;13,82;16,3076;13,82;0;0
90TEL4FUN;TELEMANDO 4 FUNCIONES;90;;0;0;0;3260,49;3260,49;6737,3398;5709,61;0;0
90TEL5FUN;TELEMANDO 5 FUNCIONES;90;;0;0;0;0;0;7446,5434;6310,63;0;0
91PLAT100;PLATAFORMA ELEVADORA ZEPRO 1000KG.;91;;0;0;0;2773,67;2773,67;4652,3152;3942,64;0;0
91PLAT750;PLATAFORMA ELEVADORA ZEPRO 750 KG.;91;;0;0;0;0;0;4659,407;3948,65;0;0
91PLAT1500;PLATAFORMA ELEVADORA ERHEL 1.500 KG.;91;;0;0;0;2975,01;2975,01;4992,7334;4231,13;0;0
92CEST1P.;CESTA PORTA-OPERARIOS PARA UNA PERSONA;92;;0;0;0;1466;1278;2360;2000;0;0
92CEST2P;CESTA PORTA-OPERARIOS 2 PERSONAS;92;;0;0;0;1720;1464,97;2773;2350;0;0
93 CONTEN.3000;CONTENEDOR PARA EQUIPO DE 3.000 KG.;93;;0;0;0;496,1;450,76;744,58;631;0;0
93 EQUIPO 20000;EQUIPO PORTA-CONTENEDORES DE 20.000 KG.;93;;0;0;0;10706;0;19151,4;16230;0;0
93.CONTEN.14TM.;CONTENEDOR PARA EQUIPO DE 14.000 KG.;93;;0;0;0;1256,2;0;2065;1750;0;0
93.CONTEN.EQP.20TM;CONTENEDOR PARA EQUIPO DE 20 TM.;93;;0;0;0;0;0;0;0;0;0
93.GANCHO T.3TM;GANCHO TORRETA PARA EQUIPO PORTA-CONT.DE 3 TM.;93;;0;0;0;43;0;92,04;78;0;0
93.GANCHO TORR.12;GANCHO TORRETA PARA EQUIPO PORTACONT.DE 12 A 25 TM;93;;0;0;0;95;95;171,1;145;0;0
93.GANCHO.5TM.;GANCHO TORRETA PARA EQUIPO PORTA-CONTENED. DE 5 TM.;93;;0;0;35;50;0;105,02;89;0;0
93CONTEN.5000;CONTENEDOR PARA EQUIPO DE 5.000 KG.;93;;0;0;0;562,1;510,86;849,6;720;0;0
93CONTEN.8000;CONTENEDOR PARA EQUIPO DE 8.000 KG.;93;;0;0;0;695,2;631,06;1062;900;0;0
93CONTEN.10000;CONTENEDOR PARA EQUIPO DE 10.000 KG.;93;;0;0;0;827,2;751,27;1169,38;991;0;0
